Gene,Position_in_alignment
All_concatenated_genes,1-29426
Mitochondrial_concatenated_genes,1-15597
mtDNA_Coding,1-11413
Cytb,1-1141
CO1,1142-2692
CO2,2693-3378
CO3,3379-4164
ATP6,4165-4848
ATP8,4849-5016
ND1,5017-5980
ND2,5981-7030
ND3,7031-7381
ND4,7382-8762
ND4L,8763-9059
ND5,9060-10891
ND6,10892-11413
12S,11414-12353
16S,12354-14036
mtDNA_tRNA,14037-15597
Nuclear,15598-29426
18S,15598-17420
CT,17421-17516
Epend,17517-17978
GH1c,17979-18789
GH1d,18790-19940
GH2c,19941-20580
GH2d,20581-21779
HMG1,21780-22326
ITS1,22327-22788
ITS2,22789-23121
LDH,23122-23505
MetA,23506-23996
MetB,23997-24931
RAG,24932-26487
Tnfa,26488-27016
Transf,27017-27938
VIT,27939-29426
